id,name,tagline,first_brewed,description,image_url,abv,ibu,ebc,srm,ph,ingredients,food_pairing,contributed_by,malts,hops,yeast
11,Misspent Youth,Milk & Honey Scotch Ale.,04/2013,"The brainchild of our small batch brewer, George Woods. A dangerously drinkable milk sugar- infused Scotch Ale.",https://images.punkapi.com/v2/keg.png,7.3,30.0,120.0,60.0,4.4,"Pale Ale, Caramalt, Dark Crystal, Smoked Weyermann, Flaked Oats, Brown, Amber, Chocolate, Munich, Crystal 150 First Gold, Fuggles, Honey, Lactose, First Gold, Fuggles Wyeast 1056 - American Ale™","Roasted garlic and chilli infused camembert cheese, Korean style chicken wings, Chocolate milk shake",Sam Mason,"Pale Ale, Caramalt, Dark Crystal, Smoked Weyermann, Flaked Oats, Brown, Amber, Chocolate, Munich, Crystal 150","First Gold, Fuggles, Honey, Lactose, First Gold, Fuggles",Wyeast 1056 - American Ale™
12,Arcade Nation,Seasonal Black IPA.,12/2015,"Running the knife-edge between an India Pale Ale and a Stout, this particular style is one we truly love. Black IPAs are a great showcase for the skill of our brew team, balancing so many complex and twisting flavours in the same moment. The citrus, mango and pine from the hops – three of our all-time favourites – play off against the roasty dryness from the malt bill at each and every turn.",https://images.punkapi.com/v2/12.png,5.3,60.0,200.0,100.0,4.2,"Pale Ale, Caramalt, Crystal 150, Carafa Special Malt Type 1 Simcoe, Simcoe, Simcoe, Amarillo, Citra, Simcoe, Amarillo, Citra Wyeast 1056 - American Ale™","King prawn kebabs, Halibut with a mango and tomato salad, Mint chocloate ice cream",Sam Mason,"Pale Ale, Caramalt, Crystal 150, Carafa Special Malt Type 1","Simcoe, Simcoe, Simcoe, Amarillo, Citra, Simcoe, Amarillo, Citra",Wyeast 1056 - American Ale™
13,Movember,Moustache-Worthy Beer.,11/2009,"A deliciously robust, black malted beer with a decadent dark, dry cocoa flavour that provides an enticing backdrop to the Cascade hops.",https://images.punkapi.com/v2/13.png,4.5,50.0,140.0,70.0,5.2,"Maris Otter Extra Pale, Caramalt, Crystal 150, Carafa Special Malt Type 1, Carafa Special Malt Type 3 Cascade, Cascade, Cascade Wyeast 1056 - American Ale™","Vegetable egg scramble, Margherita pizza, Fresh berry crisp tart",Sam Mason,"Maris Otter Extra Pale, Caramalt, Crystal 150, Carafa Special Malt Type 1, Carafa Special Malt Type 3","Cascade, Cascade, Cascade",Wyeast 1056 - American Ale™
14,Alpha Dog,Existential Red Ale.,02/2010,A fusion of caramel malt flavours and punchy New Zealand hops. A session beer you can get your teeth into.,https://images.punkapi.com/v2/14.png,4.5,42.0,62.0,31.0,4.4,"Maris Otter Extra Pale, Caramalt, Munich, Crystal 150, Dark Crystal 350-400 Nelson Sauvin, Amarillo, Nelson Sauvin Wyeast 1056 - American Ale™","Pastrami, Swiss and horseradish sandwich, Sharp cheddar cheese and onion/ raisin chutney, Peanut brittle",Sam Mason,"Maris Otter Extra Pale, Caramalt, Munich, Crystal 150, Dark Crystal 350-400","Nelson Sauvin, Amarillo, Nelson Sauvin",Wyeast 1056 - American Ale™
15,Mixtape 8,"An Epic Fusion Of Old Belgian, American New Wave, And Scotch Whisky.",01/2012,"This recipe is for the Belgian Tripel base. A blend of two huge oak aged beers – half a hopped up Belgian Tripel, and half a Triple India Pale Ale. Both aged in single grain whisky barrels for two years and blended, each beer brings its own character to the mix. The Belgian Tripel comes loaded with complex spicy, fruity esters, and punchy citrus hop character.",https://images.punkapi.com/v2/15.png,14.5,50.0,40.0,20.0,4.4,"Pale Ale - Tipple, Caramalt, Crystal Columbus Extract, Centennial, Cascade, Simcoe Wyeast 3522 - Belgian Ardennes™","Coriander & chilli crab cakes, Goats cheese salad with walnuts, radish and blood orange, Pistachio cake",Sam Mason,"Pale Ale - Tipple, Caramalt, Crystal","Columbus Extract, Centennial, Cascade, Simcoe",Wyeast 3522 - Belgian Ardennes™
16,Libertine Porter,Dry-Hopped Aggressive Porter.,01/2012,"An avalanche of cross-continental hop varieties give this porter a complex spicy, resinous and citrusy aroma, with a huge malt bill providing a complex roasty counterpoint. Digging deeper into the flavour draws out cinder toffee, bitter chocolate and hints of woodsmoke.",https://images.punkapi.com/v2/16.png,6.1,45.0,219.0,109.5,4.4,"Extra Pale - Spring Blend, Caramalt, Crystal 150, Chocolate, Roasted Barley, Wheat, Flaked Oats, Smoked Malt Columbus, Columbus, Willamette, Galena, Columbus, Galena, Simcoe Wyeast 1056 - American Ale™","Blue cheese beef burger, Glazed short ribs, Chocolate cake",Sam Mason,"Extra Pale - Spring Blend, Caramalt, Crystal 150, Chocolate, Roasted Barley, Wheat, Flaked Oats, Smoked Malt","Columbus, Columbus, Willamette, Galena, Columbus, Galena, Simcoe",Wyeast 1056 - American Ale™
17,AB:06,Imperial Black IPA.,04/2011,"Our sixth Abstrakt, this imperial black IPA combined dark malts with a monumental triple dry-hop, using an all-star team of some of our favourite American hops. Roasty and resinous.",https://images.punkapi.com/v2/17.png,11.2,150.0,70.0,35.0,,"Pale Ale, Crystal 150, Caramalt, Carafa Special Malt Type 1, Carafa Special Malt Type 3 Hop Extract, Amarillo, Chinook, Cascade, Centennial, Columbus, Chinook, Cascade, Centennial, Columbus, Amarillo Wyeast 1272 - American Ale II™","Coffee dusted venison loin, Memphis-style beef short ribs, Chocolate orange brownies",Sam Mason,"Pale Ale, Crystal 150, Caramalt, Carafa Special Malt Type 1, Carafa Special Malt Type 3","Hop Extract, Amarillo, Chinook, Cascade, Centennial, Columbus, Chinook, Cascade, Centennial, Columbus, Amarillo",Wyeast 1272 - American Ale II™
18,Russian Doll – India Pale Ale,Nesting Hop Bomb.,08/2014,"The levels of hops vary throughout the range. We love hops, so all four beers are big, bitter badasses, but by tweaking the amount of each hop used later in the boil and during dry- hopping, we can balance the malty backbone with some unexpected flavours. Simcoe is used in the whirlpool for all four beers, and yet still lends different characters to each",https://images.punkapi.com/v2/18.png,6.0,70.0,25.0,12.5,5.2,"Extra Pale, Caramalt, Dark Crystal Cascade, Centennial, Simcoe, Simcoe, Citra, Simcoe, Cascade, Centennial, Citra Wyeast 1056 - American Ale™","Spicy chicken skewers, Fish tacos with hot sauce, Lemon pound cake with a ice sugar glaze",Sam Mason,"Extra Pale, Caramalt, Dark Crystal","Cascade, Centennial, Simcoe, Simcoe, Citra, Simcoe, Cascade, Centennial, Citra",Wyeast 1056 - American Ale™
19,Hello My Name Is Mette-Marit,Lingonberry Double IPA.,06/2013,"We sent this beer to Norway where it was known as 'Hello, my name is Censored’. You can make up your own mind as to why. This brew was a red berry explosion, with a reisnous bitter edge layered with dry berry tartness.",https://images.punkapi.com/v2/19.png,8.2,70.0,,,4.4,"Extra Pale, Caramalt Tomahawk, Motueka, Galena, Mt.Hood, Challenger, Galena, Nelson Sauvin Wyeast 1056 - American Ale™","Fårikål (mutton stew) with a spicy twist, Fenalår (salted cured lamb), Krumkake with lingonberry jam",Sam Mason,"Extra Pale, Caramalt","Tomahawk, Motueka, Galena, Mt.Hood, Challenger, Galena, Nelson Sauvin",Wyeast 1056 - American Ale™
20,Rabiator,Imperial Wheat Beer,03/2011,"Imperial Wheat beer / Weizenbock brewed by a homesick German in leather trousers. Think banana bread, bubble gum and David Hasselhoff.",https://images.punkapi.com/v2/keg.png,10.27,26.0,24.0,12.0,4.4,"Extra Pale, Wheat, Crystal Columbus, Hersbrucker Wyeast 3333 - German Wheat™","Grilled portabello mushroom burger, Chicken sausages with creamy mash, Caramel and banana meringue pie",Sam Mason,"Extra Pale, Wheat, Crystal","Columbus, Hersbrucker",Wyeast 3333 - German Wheat™
21,Vice Bier,Hoppy Wheat Bier.,04/2013,"Our take on the classic German Kristallweizen. A clear German wheat beer, layers of bubblegum and vanilla perfectly balanced with the American and New Zealand hops.",https://images.punkapi.com/v2/keg.png,4.3,25.0,30.0,15.0,4.0,"Extra Pale, Wheat, Caramalt Waimea, Amarillo, Nelson Sauvin, Motueka, Simcoe, Citra, Waimea Wyeast 3638 - Bavarian Wheat™","Citrus salad with balsamic dressing, Lobster, Ginger and orange cookies",Sam Mason,"Extra Pale, Wheat, Caramalt","Waimea, Amarillo, Nelson Sauvin, Motueka, Simcoe, Citra, Waimea",Wyeast 3638 - Bavarian Wheat™
22,Devine Rebel (w/ Mikkeller),Oak-aged Barley Wine.,12/2008,"Two of Europe's most experimental, boundary-pushing brewers, BrewDog and Mikkeller, combined forces to produce a rebellious beer that combined their respective talents and brewing skills. The 12.5% Barley Wine fermented well, and the champagne yeast drew it ever closer to 12.5%. The beer was brewed with a single hop variety and was going to be partially aged in oak casks.",https://images.punkapi.com/v2/22.png,12.5,100.0,36.0,18.0,4.4,"Extra Pale, Caramalt, Munich, Amber Nelson Sauvin, Nelson Sauvin Wyeast 1056 - American Ale™","Stilton on gingerbread biscuits, Pot roasted artichokes, Lamb chops with caramelised figs",Sam Mason,"Extra Pale, Caramalt, Munich, Amber","Nelson Sauvin, Nelson Sauvin",Wyeast 1056 - American Ale™
23,Storm,Islay Whisky Aged IPA.,12/2007,"Dark and powerful Islay magic infuses this tropical sensation of an IPA. Using the original Punk IPA as a base, we boosted the ABV to 8% giving it some extra backbone to stand up to the peated smoke imported directly from Islay.",https://images.punkapi.com/v2/23.png,8.0,60.0,12.0,6.0,4.4,"Extra Pale Ahtanum, Chinook, Crystal, Chinook, Ahtanum, Chinook, Crystal, Motueka Wyeast 1056 - American Ale™","Oysters, Hickory smoked ham, Rocky Road",Sam Mason,Extra Pale,"Ahtanum, Chinook, Crystal, Chinook, Ahtanum, Chinook, Crystal, Motueka",Wyeast 1056 - American Ale™
24,The End Of History,The World's Strongest Beer.,06/2011,"The End of History: The name derives from the famous work of philosopher Francis Fukuyama, this is to beer what democracy is to history. Complexity defined. Floral, grapefruit, caramel and cloves are intensified by boozy heat.",https://images.punkapi.com/v2/24.png,55.0,,,,4.4,"Extra Pale Nelson Sauvin, Centennial, Nelson Sauvin, Amarillo, Centennial Wyeast 3522 - Belgian Ardennes™","Roasted wood pigeon with black pudding, Pan seared venison fillet with juniper sauce, Apricot coconut cake",Sam Mason,Extra Pale,"Nelson Sauvin, Centennial, Nelson Sauvin, Amarillo, Centennial",Wyeast 3522 - Belgian Ardennes™
25,Bad Pixie,Spiced Wheat Beer.,10/2008,"2008 Prototype beer, a 4.7% wheat ale with crushed juniper berries and citrus peel.",https://images.punkapi.com/v2/25.png,4.7,45.0,8.0,4.0,4.4,"Wheat, Extra Pale First Gold, First Gold, Sorachi Ace Wyeast 1056 - American Ale™","Poached sole fillet with capers, Summer fruit salad, Banana split",Sam Mason,"Wheat, Extra Pale","First Gold, First Gold, Sorachi Ace",Wyeast 1056 - American Ale™
26,Skull Candy,Pacific Hopped Amber Bitter.,02/2010,"The first beer that we brewed on our newly commissioned 5000 litre brewhouse in Fraserburgh 2009. A beer with the malt and body of an English bitter, but the heart and soul of vibrant citrus US hops.",https://images.punkapi.com/v2/keg.png,3.5,33.0,50.0,25.0,4.4,"Extra Pale, Caramalt, Crystal 120 Cascade, Cascade, Centennial, Amarillo, Simcoe Wyeast 1056 - American Ale™","Haggis bon bons, Rosemary and lemon roast chicken, Oatmeal and cranberry cookies",Sam Mason,"Extra Pale, Caramalt, Crystal 120","Cascade, Cascade, Centennial, Amarillo, Simcoe",Wyeast 1056 - American Ale™
27,Dog B,"Cacao, Coffee Chili Anniversary Stout.",05/2013,"Our anniversary stout was based on AB:04, one of our most sought after beers ever. This beer is slightly different each year, with subtle variations coming into play purely down to environmental and fermentation factors. What doesn't change is the rich dark chocolate, bitter coffee and chilli warmth of this monumental Stout.",https://images.punkapi.com/v2/27.png,15.0,90.0,100.0,50.0,4.4,"Extra Pale, Wheat, Flaked Oats, Dark Crystal, Carafa Special Malt Type 1, Carafa Special Malt Type 3, Honey Chinook, Cascade, Fuggles, Coffee, Fuggles, Coffee Wyeast 1056 - American Ale™","Blackened cajun beef, Blue cheese, Flourless chocolate cheesecake",Sam Mason,"Extra Pale, Wheat, Flaked Oats, Dark Crystal, Carafa Special Malt Type 1, Carafa Special Malt Type 3, Honey","Chinook, Cascade, Fuggles, Coffee, Fuggles, Coffee",Wyeast 1056 - American Ale™
28,HBC 369,Single Hop India Pale Ale – 2012.,02/2012,"HBC 369 brings rich fruity flavours with the tiniest layer of candy coating on top. HBC 369 (the hop) can bring notes of blueberries, pear, and possibly even sweet potato. HBC 369 (the beer) was balanced, with just one hop providing a complex aroma, and a dry bitterness.",https://images.punkapi.com/v2/28.png,6.7,67.0,19.0,9.5,4.4,"Extra Pale - Spring Blend, Caramalt, Crystal 150 HBC 369, HBC 369, HBC 369 Wyeast 1056 - American Ale™","Spicy jalapeño & seared steak fajitas, Grilled spicy corn with feta crumbles, Blueberry pie",Sam Mason,"Extra Pale - Spring Blend, Caramalt, Crystal 150","HBC 369, HBC 369, HBC 369",Wyeast 1056 - American Ale™
29,10 Heads High,Imperial Red Ale.,04/2013,"10 Heads High is loosely based on our awesome 2011 Prototype beer Hops Kill Nazis. This is an uncompromising 7.8% Imperial Red Ale loaded high with American Hops. Think of this as an Imperial India Red Ale, or a super-charged version of 5am Saint. Either way this is a seriously good beer!",https://images.punkapi.com/v2/29.png,7.8,70.0,90.0,45.0,4.4,"Extra Pale, Caramalt, Crystal 150, Dark Crystal Chinook, Chinook, Centennial, Chinook, Centennial, Chinook Wyeast 1272 - American Ale II™","Arrabiata pasta, Mulled cheddar, Toasted almond cake",Sam Mason,"Extra Pale, Caramalt, Crystal 150, Dark Crystal","Chinook, Chinook, Centennial, Chinook, Centennial, Chinook",Wyeast 1272 - American Ale II™
30,Dana - IPA Is Dead,Single Hop India Pale Ale.,02/2013,"Hailing from Slovenia, Dana was originally cross bred from the German Hallertau Magnum and native Slovenian varieties. Like any good faux noble hop should, it infuses a rustic, musty spiciness into a toasty beast of a malt base.",https://images.punkapi.com/v2/30.png,6.7,70.0,30.0,15.0,4.4,"Extra Pale, Caramalt, Dark Crystal, Munich Dana, Dana, Dana, Dana Wyeast 1056 - American Ale™","Spicy Asian-style noodles, Smokey chipotle beef brisket tostada, Sweet potato pie",Matt Ball,"Extra Pale, Caramalt, Dark Crystal, Munich","Dana, Dana, Dana, Dana",Wyeast 1056 - American Ale™
31,Nanny State,Alcohol Free Hoppy Ale.,08/2009,"Brewing a full flavoured craft beer at 0.5% is no easy task. Packed with loads of Centennial, Amarillo, Columbus, Cascade and Simcoe hops, dry hopped to the brink and back and sitting at 55 IBUs, Nanny State is a force to be reckoned with. With a backbone of 8 different specialty malts, Nanny State will tantalise your taste buds and leave you yearning for more.",https://images.punkapi.com/v2/31.png,0.5,55.0,30.0,15.0,4.4,"Munich, Caramalt, Crystal 150, Amber, Dark Crystal, Chocolate, Wheat, Rye Amarillo, Simcoe, Centennial, Amarillo, Simcoe, Centennial, Amarillo, Simcoe, Cascade, Ahtanum, Centennial, Cascade, Ahtanum, Simcoe, Columbus Wyeast 1056 - American Ale™",Earthy mushroom pasta,Sam Mason,"Munich, Caramalt, Crystal 150, Amber, Dark Crystal, Chocolate, Wheat, Rye","Amarillo, Simcoe, Centennial, Amarillo, Simcoe, Centennial, Amarillo, Simcoe, Cascade, Ahtanum, Centennial, Cascade, Ahtanum, Simcoe, Columbus",Wyeast 1056 - American Ale™
32,AB:05,Belgian Imperial Stout.,12/2010,"Belgian Imperial Stout aged on toasted coconut and cacao. The Belgian yeast strain introduces a whole new dimension to the Imperial Stout style resulting in a beer that resembles a marshmallow toasted on a smouldering barbeque then smothered in dark chocolate. Massively seductive and encapsulating this blacker than midnight beer pours with coffee brown head so thick you could almost stand on it, and with an epic lacing on your glass.",https://images.punkapi.com/v2/32.png,12.5,40.0,180.0,90.0,4.4,"Extra Pale, Carafa Special Malt Type 1, Carafa Special Malt Type 3, Flaked Oats, Pale Crystal, Dark Crystal First Gold, First Gold Wyeast 3522 - Belgian Ardennes™","Venison with cacao nibs, Apple upside-down cake, Toffee marshmallow pie",Sam Mason,"Extra Pale, Carafa Special Malt Type 1, Carafa Special Malt Type 3, Flaked Oats, Pale Crystal, Dark Crystal","First Gold, First Gold",Wyeast 3522 - Belgian Ardennes™
33,Sorachi Ace,Single Hop IPA Series - 2011.,01/2011,"A hop that tastes of bubble gum? Seriously? No, we did not believe it either. But it does! This is one unique, son of a bitch of a hop. Lemony, deep, musty with a smoothness that belies its power. This hop is lemony like a lemon who was angry earlier but is now tired because of all the rage. This hop of Japanese origin is best enjoyed trying to make sushi from your gold fish, or trying to persuade your girlfriend (or boyfriend maybe) to dress up as a Geisha for Valentine’s Day.",https://images.punkapi.com/v2/33.png,7.5,75.0,30.0,15.0,4.4,"Extra Pale, Crystal 150, Caramalt Sorachi Ace, Sorachi Ace Wyeast 1056 - American Ale™","Sashimi, Grilled salmon with a herb and citrus infused butter, Basil, lemon and pine nut angel hair pasta with grilled chicken",Sam Mason,"Extra Pale, Crystal 150, Caramalt","Sorachi Ace, Sorachi Ace",Wyeast 1056 - American Ale™
34,Bourbon Baby,Barrel-Aged Scotch Ale.,01/2014,"Santa Paws Scotch ale aged in bourbon barrels - light, dry and toasty, with vanilla, hints of chocolate and ginger biscuit, and a faint spicy hoppiness.",https://images.punkapi.com/v2/34.png,5.8,35.0,44.0,22.0,4.4,"Extra Pale, Munich, Dark Crystal, Wheat, Flaked Oats, Carafa Special Malt Type 3, Amber, Weyermann Beech Smoked First Gold, Willamette, Hallertauer Mittelfrüh Wyeast 1056 - American Ale™","Blackened cajun beef, Pulled pork, Millionaire's shortbread",Ali Skinner,"Extra Pale, Munich, Dark Crystal, Wheat, Flaked Oats, Carafa Special Malt Type 3, Amber, Weyermann Beech Smoked","First Gold, Willamette, Hallertauer Mittelfrüh",Wyeast 1056 - American Ale™
35,Berliner Weisse With Raspberries And Rhubarb - B-Sides,Fruity Berliner Weisse.,11/2015,"Tart, dry and acidic with a punch of summer berry as rhubarb crumble.",https://images.punkapi.com/v2/keg.png,3.6,8.0,,,3.2,"Propino Pale Malt, Wheat Malt, Propino Pale Malt for kettle souring, Acidulated Malt for kettle souring Bramling Cross Wyeast 1056 - American Ale™","Grilled salmon, Mac and cheese fries, Cheesecake with raspberry coulis",Sam Mason,"Propino Pale Malt, Wheat Malt, Propino Pale Malt for kettle souring, Acidulated Malt for kettle souring",Bramling Cross,Wyeast 1056 - American Ale™
36,Shipwrecker Circus (w/ Oskar Blues),American Barley Wine - Oskar Blues Collab.,09/2013,"In collaboration with the awesome Oskar Blues from Colorado, we created this big, twisted 10.5% American style barley wine. Big boozy aromas and a sweet viscosity, packed in with some heavy-hitting C-hops, for an intense bitterness to balance this full-bodied malt monster.",https://images.punkapi.com/v2/36.png,10.5,85.0,64.0,32.0,4.4,"Extra Pale, Munich, Crystal 150, Chocolate Chinook, Cascade, Citra, Chinook, Chinook, Citra, Cascade, Cascade, Chinook, Citra Wyeast 1272 - American Ale II™","Stilton, Pan seared steak, Dark Chocolate Fondant",Ali Skinner,"Extra Pale, Munich, Crystal 150, Chocolate","Chinook, Cascade, Citra, Chinook, Chinook, Citra, Cascade, Cascade, Chinook, Citra",Wyeast 1272 - American Ale II™
37,Zephyr,There’s A Storm Brewing.,10/2008,"A 9.2% Double IPA aged for 21 months in a 1965 Invergordon cask with 30 kg of fresh highland strawberries. This beer is a riot of whisky, caramel and strawberry, all tempered by a toe curling bitterness enducing rapture in all who taste it. Who needs champagne?",https://images.punkapi.com/v2/37.png,12.5,125.0,40.0,20.0,4.4,"Extra Pale, Caramalt, Crystal 150 Columbus Extract, Columbus, Columbus, Centennial, Simcoe, Columbus, Centennial, Centennial, Columbus, Simcoe, Amarillo Wyeast 1272 - American Ale II™","Poached eggs and smoked salmon, Salt and pepper squid, Key Lime Pie",Sam Mason,"Extra Pale, Caramalt, Crystal 150","Columbus Extract, Columbus, Columbus, Centennial, Simcoe, Columbus, Centennial, Centennial, Columbus, Simcoe, Amarillo",Wyeast 1272 - American Ale II™
